#Supplementary Data 1. Drug-disease annotations and proximity values of drugs to diseases, pathways and side effects.							
Disease	Drug	Drugbank ID	Palliative	In FDA label	Relative Efficacy (RE)	Indication (from DailyMed)	Note
lupus erythematosus systemic	Hydroxychloroquine	DB01611	0	1	0,577181	Hydroxychloroquine sulfate tablets, USP are indicated for the suppressive treatment and treatment of acute attacks of malaria due to Plasmodium vivax, P. malariae, P. ovale, and susceptible strains of P. falciparum. Hydroxychloroquine sulfate tablets, USP are also indicated for the treatment of discoid and systemic lupus erythematosus, and rheumatoid arthritis.	
lupus erythematosus systemic	Prednisolone	DB00860	0	0	0,7	Steroid responsive inflammatory conditions of the palpebral and bulbar conjunctiva, cornea, and anterior segment of the globe such as allergic conjunctivitis, acne rosacea, superficial punctate keratitis, herpes zoster keratitis, iritis, cyclitis, selected infective conjunctivitides, when the inherent hazard of steroid use is accepted to obtain an advisable diminution in edema and inflammation; corneal injury from chemical, radiation, or thermal burns, or penetration of foreign bodies.	
lupus erythematosus systemic	Prednisone	DB00635	0	1	0,553191	PredniSONE Tablets are indicated in the following conditions: Endocrine Disorders Primary or secondary adrenocortical insufficiency (hydrocortisone or cortisone is the first choice; synthetic analogs may be used in conjunction with mineralocorticoids where applicable; in infancy mineralocorticoid supplementation is of particular importance)Congenital adrenal hyperplasiaNonsuppurative thyroiditisHypercalcemia associated with cancer Primary or secondary adrenocortical insufficiency (hydrocortisone or cortisone is the first choice; synthetic analogs may be used in conjunction with mineralocorticoids where applicable; in infancy mineralocorticoid supplementation is of particular importance)Congenital adrenal hyperplasiaNonsuppurative thyroiditisHypercalcemia associated with cancer Rheumatic Disorders As adjunctive therapy for short-term administration (to tide the patient over an acute episode or exacerbation) in:Psoriatic arthritisRheumatoid arthritis, including juvenile rheumatoid arthritis (selected cases may require low-dose maintenance therapy)Ankylosing spondylitisAcute and subacute bursitisAcute nonspecific tenosynovitisAcute gouty arthritisPost-traumatic osteoarthritisSynovitis of osteoarthritisEpicondylitis As adjunctive therapy for short-term administration (to tide the patient over an acute episode or exacerbation) in:Psoriatic arthritisRheumatoid arthritis, including juvenile rheumatoid arthritis (selected cases may require low-dose maintenance therapy)Ankylosing spondylitisAcute and subacute bursitisAcute nonspecific tenosynovitisAcute gouty arthritisPost-traumatic osteoarthritisSynovitis of osteoarthritisEpicondylitis Collagen Diseases During an exacerbation or as maintenance therapy in selected cases of:Systemic lupus erythematosusSystemic dermatomyositis (polymyositis)Acute rheumatic carditis During an exacerbation or as maintenance therapy in selected cases of:Systemic lupus erythematosusSystemic dermatomyositis (polymyositis)Acute rheumatic carditis Dermatologic Diseases PemphigusBullous dermatitis herpetiformisSevere erythema multiforme (Stevens-Johnson syndrome)Exfoliative dermatitisMycosis fungoidesSevere psoriasisSevere seborrheic dermatitis PemphigusBullous dermatitis herpetiformisSevere erythema multiforme (Stevens-Johnson syndrome)Exfoliative dermatitisMycosis fungoidesSevere psoriasisSevere seborrheic dermatitis Allergic States Control of severe or incapacitating allergic conditions intractable to adequate trials of conventional treatment:Seasonal or perennial allergic rhinitisBronchial asthmaContact dermatitisAtopic dermatitisSerum sicknessDrug hypersensitivity reactions Control of severe or incapacitating allergic conditions intractable to adequate trials of conventional treatment:Seasonal or perennial allergic rhinitisBronchial asthmaContact dermatitisAtopic dermatitisSerum sicknessDrug hypersensitivity reactions Ophthalmic Diseases Severe acute and chronic allergic and inflammatory processes involving the eye and its adnexa such as:Allergic corneal marginal ulcersHerpes zoster ophthalmicusAnterior segment inflammationDiffuse posterior uveitis and choroiditisSympathetic ophthalmiaAllergic conjunctivitisKeratitisChorioretinitisOptic neuritisIritis and iridocyclitis Severe acute and chronic allergic and inflammatory processes involving the eye and its adnexa such as:Allergic corneal marginal ulcersHerpes zoster ophthalmicusAnterior segment inflammationDiffuse posterior uveitis and choroiditisSympathetic ophthalmiaAllergic conjunctivitisKeratitisChorioretinitisOptic neuritisIritis and iridocyclitis Respiratory Diseases Symptomatic sarcoidosisLoeffler's syndrome not manageable by other meansBerylliosisAspiration pneumonitisFulminating or disseminated pulmonary tuberculosis when used concurrently with appropriate antituberculous chemotherapy Symptomatic sarcoidosisLoeffler's syndrome not manageable by other meansBerylliosisAspiration pneumonitisFulminating or disseminated pulmonary tuberculosis when used concurrently with appropriate antituberculous chemotherapy Hematologic Disorders Idiopathic thrombocytopenic purpura in adultsSecondary thrombocytopenia in adultsAcquired (autoimmune) hemolytic anemiaErythroblastopenia (RBC anemia)Congenital (erythroid) hypoplastic anemia Idiopathic thrombocytopenic purpura in adultsSecondary thrombocytopenia in adultsAcquired (autoimmune) hemolytic anemiaErythroblastopenia (RBC anemia)Congenital (erythroid) hypoplastic anemia Neoplastic Diseases For palliative management of:Leukemias and lymphomas in adultsAcute leukemia of childhood For palliative management of:Leukemias and lymphomas in adultsAcute leukemia of childhood Edematous States To induce a diuresis or remission of proteinuria in the nephrotic syndrome, without uremia, of the idiopathic type or that due to lupus erythematosus To induce a diuresis or remission of proteinuria in the nephrotic syndrome, without uremia, of the idiopathic type or that due to lupus erythematosus Gastrointestinal Diseases To tide the patient over a critical period of the disease in:Ulcerative colitisRegional enteritis To tide the patient over a critical period of the disease in:Ulcerative colitisRegional enteritis Miscellaneous Tuberculous meningitis with subarachnoid block or impending block when used concurrently with appropriate antituberculous chemotherapyTrichinosis with neurologic or myocardial involvement Tuberculous meningitis with subarachnoid block or impending block when used concurrently with appropriate antituberculous chemotherapyTrichinosis with neurologic or myocardial involvement	
lymphoma	Bleomycin	DB00290	0	1	1	Bleomycin for Injection, USP should be considered a palliative treatment. It has been shown to be useful in the management of the following neoplasms either as a single agent or in proven combinations with other approved chemotherapeutic agents: Squamous Cell Carcinoma: Head and neck (including mouth, tongue, tonsil, nasopharynx, oropharynx, sinus, palate, lip, buccal mucosa, gingivae, epiglottis, skin, larynx), penis, cervix, and vulva. The response to Bleomycin for Injection is poorer in patients with previously irradiated head and neck cancer. Lymphomas: Hodgkins disease, non-Hodgkins lymphoma. Testicular Carcinoma: Embryonal cell, choriocarcinoma, and teratocarcinoma. Bleomycin for Injection, USP has also been shown to be useful in the management of: Malignant Pleural Effusion: Bleomycin for Injection is effective as a sclerosing agent for the treatment of malignant pleural effusion and prevention of recurrent pleural effusions.	
lymphoma	Carmustine	DB00262	1	1	0,970588	BiCNU (carmustine for injection) is indicated as palliative therapy as a single agent or in established combination therapy with other approved chemotherapeutic agents in the following: 1. Brain tumors- glioblastoma, brainstem glioma, medulloblastoma, astrocytoma, ependymoma, and metastatic brain tumors.2. Multiple myeloma-in combination with prednisone.3. Hodgkin's disease-as secondary therapy in combination with other approved drugs in patients who relapse while being treated with primary therapy, or who fail to respond to primary therapy.4. Non-Hodgkin's lymphomas- as secondary therapy in combination with other approved drugs for patients who relapse while being treated with primary therapy, or who fail to respond to primary therapy.	BiCNU (carmustine for injection) is indicated as palliative therapy as a single agent or in established combination therapy with other approved chemotherapeutic agents in the following: 4. Non-Hodgkin's lymphomas
lymphoma	Cladribine	DB00242	0	0	0,9	Cladribine Injection is indicated for the treatment of active Hairy Cell Leukemia as defined by clinically significant anemia, neutropenia, thrombocytopenia or disease-related symptoms.	
lymphoma	Cytarabine	DB00987	0	0	0,936893	Cytarabine in combination with other approved anticancer drugs is indicated for remission induction in acute non-lymphocytic leukemia of adults and children. It has also been found useful in the treatment of acute lymphocytic leukemia and the blast phase of chronic myelocytic leukemia. Intrathecal administration of cytarabine is indicated in the prophylaxis and treatment of meningeal leukemia.	
lymphoma	Doxorubicin	DB00997	0	1	0,937634	Doxorubicin has been used successfully to produce regression in disseminated neoplastic conditions such as acute lymphoblastic leukemia, acute myeloblastic leukemia, Wilms tumor, neuroblastoma, soft tissue and bone sarcomas, breast carcinoma, ovarian carcinoma, transitional cell bladder carcinoma, thyroid carcinoma, gastric carcinoma, Hodgkins disease, malignant lymphoma, and bronchogenic carcinoma in which the small cell histologic type is the most responsive compared to other cell types. Doxorubicin is also indicated for use as a component of adjuvant therapy in women with evidence of axillary lymph node involvement following resection of primary breast cancer.	
lymphoma	Epirubicin	DB00445	0	0	0,8125	Epirubicin Hydrochloride Injection is an anthracycline topoisomerase II inhibitor indicated as a component of adjuvant therapy in patients with evidence of axillary node tumor involvement following resection of primary breast cancer (1.1).	
lymphoma	Fludarabine	DB01073	0	0	0,953125	Fludarabine Phosphate for Injection, USP is indicated for the treatment of adult patients with B-cell chronic lymphocytic leukemia (CLL) who have not responded to or whose disease has progressed during treatment with at least one standard alkylating-agent containing regimen. The safety and effectiveness of Fludarabine Phosphate for Injection, USP in previously untreated or non-refractory patients with CLL have not been established.	
lymphoma	Lomustine	DB01206	0	1	NA	Lomustine has been shown to be useful as a single agent in addition to other treatment modalities, or in established combination therapy with other approved chemotherapeutic agents in the following: Brain tumorsboth primary and metastatic, in patients who have already received appropriate surgical and/or radiotherapeutic procedures. Hodgkin's disease secondary therapy in combination with other approved drugs in patients who relapse while being treated with primary therapy, or who fail to respond to primary therapy.	Hodgkin's disease secondary therapy in combination with other approved drugs in patients who relapse while being treated with primary therapy, or who fail to respond to primary therapy.
lymphoma	Mercaptopurine	DB01033	0	0	NA	Mercaptopurine tablets are indicated for maintenance therapy of acute lymphatic (lymphocytic, lymphoblastic) leukemia as part of a combination regimen. The response to this agent depends upon the particular subclassification of acute lymphatic leukemia and the age of the patient (pediatric or adult). Mercaptopurine tablets are not effective for prophylaxis or treatment of central nervous system leukemia. Mercaptopurine tablets are not effective in acute myelogenous leukemia, chronic lymphatic leukemia, the lymphomas (including Hodgkins Disease), or solid tumors.	Not indicated: Mercaptopurine tablets are not effective in acute myelogenous leukemia, chronic lymphatic leukemia, the lymphomas (including Hodgkins Disease), or solid tumors.
lymphoma	Methotrexate	DB00563	0	1	0,868085	Neoplastic Diseases Methotrexate is indicated in the treatment of gestational choriocarcinoma, chorio-adenoma destruens and hydatidiform mole. Methotrexate is used in maintenance therapy in combination with other chemotherapeutic agents. Methotrexate is used alone or in combination with other anticancer agents in the treatment of breast cancer, epidermoid cancers of the head and neck, advanced mycosis fungoides (cutaneous T cell lymphoma), and lung cancer, particularly squamous cell and small cell types. Methotrexate is also used in combination with other chemotherapeutic agents in the treatment of advanced stage non-Hodgkins lymphomas. Psoriasis Methotrexate is indicated in the symptomatic control of severe, recalcitrant, disabling psoriasis that is not adequately responsive to other forms of therapy, but only when the diagnosis has been established, as by biopsy and/or after dermatologic consultation. It is important to ensure that a psoriasis flare is not due to an undiagnosed concomitant disease affecting immune responses. Rheumatoid Arthritis including Polyarticular-Course Juvenile Rheumatoid Arthritis Methotrexate is indicated in the management of selected adults with severe, active, rheumatoid arthritis (ACR criteria), or children with active polyarticular-course juvenile rheumatoid arthritis, who have had an insufficient therapeutic response to, or are intolerant of, an adequate trial of first-line therapy including full dose non-steroidal anti-inflammatory agents (NSAIDs). Aspirin, NSAIDs, and/or low dose steroids may be continued, although the possibility of increased toxicity with concomitant use of NSAIDs including salicylates has not been fully explored. (See PRECAUTIONS, Drug Interactions.) Steroids may be reduced gradually in patients who respond to methotrexate. Combined use of methotrexate with gold, penicillamine, hydroxychloroquine, sulfasalazine, or cytotoxic agents, has not been studied and may increase the incidence of adverse effects. Rest and physiotherapy as indicated should be continued.	
lymphoma	Plerixafor	DB06809	0	1	NA	Mozobil, a hematopoietic stem cell mobilizer, is indicated in combination with granulocyte-colony stimulating factor (G-CSF) to mobilize hematopoietic stem cells to the peripheral blood for collection and subsequent autologous transplantation in patients with non-Hodgkins lymphoma and multiple myeloma. (1)	
lymphoma	Prednisolone	DB00860	0	0	0,898678	Steroid responsive inflammatory conditions of the palpebral and bulbar conjunctiva, cornea, and anterior segment of the globe such as allergic conjunctivitis, acne rosacea, superficial punctate keratitis, herpes zoster keratitis, iritis, cyclitis, selected infective conjunctivitides, when the inherent hazard of steroid use is accepted to obtain an advisable diminution in edema and inflammation; corneal injury from chemical, radiation, or thermal burns, or penetration of foreign bodies.	
lymphoma	Prednisone	DB00635	1	1	0,927769	PredniSONE Tablets are indicated in the following conditions: Endocrine Disorders Primary or secondary adrenocortical insufficiency (hydrocortisone or cortisone is the first choice; synthetic analogs may be used in conjunction with mineralocorticoids where applicable; in infancy mineralocorticoid supplementation is of particular importance)Congenital adrenal hyperplasiaNonsuppurative thyroiditisHypercalcemia associated with cancer Primary or secondary adrenocortical insufficiency (hydrocortisone or cortisone is the first choice; synthetic analogs may be used in conjunction with mineralocorticoids where applicable; in infancy mineralocorticoid supplementation is of particular importance)Congenital adrenal hyperplasiaNonsuppurative thyroiditisHypercalcemia associated with cancer Rheumatic Disorders As adjunctive therapy for short-term administration (to tide the patient over an acute episode or exacerbation) in:Psoriatic arthritisRheumatoid arthritis, including juvenile rheumatoid arthritis (selected cases may require low-dose maintenance therapy)Ankylosing spondylitisAcute and subacute bursitisAcute nonspecific tenosynovitisAcute gouty arthritisPost-traumatic osteoarthritisSynovitis of osteoarthritisEpicondylitis As adjunctive therapy for short-term administration (to tide the patient over an acute episode or exacerbation) in:Psoriatic arthritisRheumatoid arthritis, including juvenile rheumatoid arthritis (selected cases may require low-dose maintenance therapy)Ankylosing spondylitisAcute and subacute bursitisAcute nonspecific tenosynovitisAcute gouty arthritisPost-traumatic osteoarthritisSynovitis of osteoarthritisEpicondylitis Collagen Diseases During an exacerbation or as maintenance therapy in selected cases of:Systemic lupus erythematosusSystemic dermatomyositis (polymyositis)Acute rheumatic carditis During an exacerbation or as maintenance therapy in selected cases of:Systemic lupus erythematosusSystemic dermatomyositis (polymyositis)Acute rheumatic carditis Dermatologic Diseases PemphigusBullous dermatitis herpetiformisSevere erythema multiforme (Stevens-Johnson syndrome)Exfoliative dermatitisMycosis fungoidesSevere psoriasisSevere seborrheic dermatitis PemphigusBullous dermatitis herpetiformisSevere erythema multiforme (Stevens-Johnson syndrome)Exfoliative dermatitisMycosis fungoidesSevere psoriasisSevere seborrheic dermatitis Allergic States Control of severe or incapacitating allergic conditions intractable to adequate trials of conventional treatment:Seasonal or perennial allergic rhinitisBronchial asthmaContact dermatitisAtopic dermatitisSerum sicknessDrug hypersensitivity reactions Control of severe or incapacitating allergic conditions intractable to adequate trials of conventional treatment:Seasonal or perennial allergic rhinitisBronchial asthmaContact dermatitisAtopic dermatitisSerum sicknessDrug hypersensitivity reactions Ophthalmic Diseases Severe acute and chronic allergic and inflammatory processes involving the eye and its adnexa such as:Allergic corneal marginal ulcersHerpes zoster ophthalmicusAnterior segment inflammationDiffuse posterior uveitis and choroiditisSympathetic ophthalmiaAllergic conjunctivitisKeratitisChorioretinitisOptic neuritisIritis and iridocyclitis Severe acute and chronic allergic and inflammatory processes involving the eye and its adnexa such as:Allergic corneal marginal ulcersHerpes zoster ophthalmicusAnterior segment inflammationDiffuse posterior uveitis and choroiditisSympathetic ophthalmiaAllergic conjunctivitisKeratitisChorioretinitisOptic neuritisIritis and iridocyclitis Respiratory Diseases Symptomatic sarcoidosisLoeffler's syndrome not manageable by other meansBerylliosisAspiration pneumonitisFulminating or disseminated pulmonary tuberculosis when used concurrently with appropriate antituberculous chemotherapy Symptomatic sarcoidosisLoeffler's syndrome not manageable by other meansBerylliosisAspiration pneumonitisFulminating or disseminated pulmonary tuberculosis when used concurrently with appropriate antituberculous chemotherapy Hematologic Disorders Idiopathic thrombocytopenic purpura in adultsSecondary thrombocytopenia in adultsAcquired (autoimmune) hemolytic anemiaErythroblastopenia (RBC anemia)Congenital (erythroid) hypoplastic anemia Idiopathic thrombocytopenic purpura in adultsSecondary thrombocytopenia in adultsAcquired (autoimmune) hemolytic anemiaErythroblastopenia (RBC anemia)Congenital (erythroid) hypoplastic anemia Neoplastic Diseases For palliative management of:Leukemias and lymphomas in adultsAcute leukemia of childhood For palliative management of: Leukemias and lymphomas in adults Acute leukemia of childhood Edematous States To induce a diuresis or remission of proteinuria in the nephrotic syndrome, without uremia, of the idiopathic type or that due to lupus erythematosus To induce a diuresis or remission of proteinuria in the nephrotic syndrome, without uremia, of the idiopathic type or that due to lupus erythematosus Gastrointestinal Diseases To tide the patient over a critical period of the disease in:Ulcerative colitisRegional enteritis To tide the patient over a critical period of the disease in:Ulcerative colitisRegional enteritis Miscellaneous Tuberculous meningitis with subarachnoid block or impending block when used concurrently with appropriate antituberculous chemotherapyTrichinosis with neurologic or myocardial involvement Tuberculous meningitis with subarachnoid block or impending block when used concurrently with appropriate antituberculous chemotherapyTrichinosis with neurologic or myocardial involvement	For palliative management of: Leukemias and lymphomas in adults
lymphoma	Vinblastine	DB00570	1	1	NA	Vinblastine Sulfate Injection is indicated in the palliative treatment of the following: I. Frequently Responsive Malignancies Generalized Hodgkins disease (Stages III and IV, Ann Arbor modification of Rye staging system) Lymphocytic lymphoma (nodular and diffuse, poorly and well differentiated) Histiocytic lymphoma Mycosis fungoides (advanced stages) Advanced carcinoma of the testis Kaposis sarcoma Letterer-Siwe disease (histiocytosis X) II. Less Frequently Responsive Malignancies Choriocarcinoma resistant to other chemotherapeutic agents Carcinoma of the breast, unresponsive to appropriate endocrine surgery and hormonal therapy Current principles of chemotherapy for many types of cancer include the concurrent administration of several antineoplastic agents. For enhanced therapeutic effect without additive toxicity, agents with different dose-limiting clinical toxicities and different mechanisms of action are generally selected. Therefore, although vinblastine sulfate is effective as a single agent in the aforementioned indications, it is usually administered in combination with other antineoplastic drugs. Such combination therapy produces a greater percentage of response than does a single-agent regimen. These principles have been applied, for example, in the chemotherapy of Hodgkins disease. Vinblastine sulfate has been shown to be one of the most effective single agents for the treatment of Hodgkins disease. Advanced Hodgkins disease has also been successfully treated with several multiple-drug regimens that included vinblastine sulfate. Patients who had relapses after treatment with the MOPP program mechlorethamine hydrochloride (nitrogen mustard), vincristine sulfate, prednisone and procarbazinehave likewise responded to combination-drug therapy that included vinblastine sulfate. A protocol using cyclophosphamide in place of nitrogen mustard and vinblastine sulfate instead of vincristine sulfate is an alternative therapy for previously untreated patients with advanced Hodgkins disease. Advanced testicular germinal-cell cancers (embryonal carcinoma, teratocarcinoma and choriocarcinoma) are sensitive to vinblastine sulfate alone, but better clinical results are achieved when vinblastine sulfate is administered concomitantly with other antineoplastic agents. The effect of bleomycin is significantly enhanced if vinblastine sulfate is administered six to eight hours prior to the administration of bleomycin; this schedule permits more cells to be arrested during metaphase, the stage of the cell cycle in which bleomycin is active.	Vinblastine Sulfate Injection is indicated in the palliative treatment of the following: I. Frequently Responsive Malignancies Generalized Hodgkins disease (Stages III and IV, Ann Arbor modification of Rye staging system) Lymphocytic lymphoma …
lymphoma	Vincristine	DB00541	0	1	0,92951	Vincristine sulfate injection is indicated in acute leukemia. Vincristine sulfate injection has also been shown to be useful in combination with other oncolytic agents in Hodgkins disease, nonHodgkins malignant lymphomas, rhabdomyosarcoma, neuroblastoma, and Wilms tumor.	
lymphoma non hodgkin	Bleomycin	DB00290	1	1	NA	Bleomycin for Injection, USP should be considered a palliative treatment. It has been shown to be useful in the management of the following neoplasms either as a single agent or in proven combinations with other approved chemotherapeutic agents: Squamous Cell Carcinoma: Head and neck (including mouth, tongue, tonsil, nasopharynx, oropharynx, sinus, palate, lip, buccal mucosa, gingivae, epiglottis, skin, larynx), penis, cervix, and vulva. The response to Bleomycin for Injection is poorer in patients with previously irradiated head and neck cancer. Lymphomas: Hodgkins disease, non-Hodgkins lymphoma. Testicular Carcinoma: Embryonal cell, choriocarcinoma, and teratocarcinoma. Bleomycin for Injection, USP has also been shown to be useful in the management of: Malignant Pleural Effusion: Bleomycin for Injection is effective as a sclerosing agent for the treatment of malignant pleural effusion and prevention of recurrent pleural effusions.	Bleomycin for Injection, USP should be considered a palliative treatment. Lymphomas: Hodgkins disease, non-Hodgkins lymphoma
lymphoma non hodgkin	Carmustine	DB00262	1	1	NA	BiCNU (carmustine for injection) is indicated as palliative therapy as a single agent or in established combination therapy with other approved chemotherapeutic agents in the following: 1. Brain tumors- glioblastoma, brainstem glioma, medulloblastoma, astrocytoma, ependymoma, and metastatic brain tumors.2. Multiple myeloma-in combination with prednisone.3. Hodgkin's disease-as secondary therapy in combination with other approved drugs in patients who relapse while being treated with primary therapy, or who fail to respond to primary therapy.4. Non-Hodgkin's lymphomas- as secondary therapy in combination with other approved drugs for patients who relapse while being treated with primary therapy, or who fail to respond to primary therapy.	BiCNU (carmustine for injection) is indicated as palliative therapy as a single agent or in established combination therapy with other approved chemotherapeutic agents in the following: 4. Non-Hodgkin's lymphomas
lymphoma non hodgkin	Cladribine	DB00242	0	0	NA	Cladribine Injection is indicated for the treatment of active Hairy Cell Leukemia as defined by clinically significant anemia, neutropenia, thrombocytopenia or disease-related symptoms.	
lymphoma non hodgkin	Cytarabine	DB00987	0	0	NA	Cytarabine in combination with other approved anticancer drugs is indicated for remission induction in acute non-lymphocytic leukemia of adults and children. It has also been found useful in the treatment of acute lymphocytic leukemia and the blast phase of chronic myelocytic leukemia. Intrathecal administration of cytarabine is indicated in the prophylaxis and treatment of meningeal leukemia.	
lymphoma non hodgkin	Fludarabine	DB01073	0	0	NA	Fludarabine Phosphate for Injection, USP is indicated for the treatment of adult patients with B-cell chronic lymphocytic leukemia (CLL) who have not responded to or whose disease has progressed during treatment with at least one standard alkylating-agent containing regimen. The safety and effectiveness of Fludarabine Phosphate for Injection, USP in previously untreated or non-refractory patients with CLL have not been established.	
lymphoma non hodgkin	Lomustine	DB01206	0	1	NA	Lomustine has been shown to be useful as a single agent in addition to other treatment modalities, or in established combination therapy with other approved chemotherapeutic agents in the following: Brain tumorsboth primary and metastatic, in patients who have already received appropriate surgical and/or radiotherapeutic procedures. Hodgkin's disease secondary therapy in combination with other approved drugs in patients who relapse while being treated with primary therapy, or who fail to respond to primary therapy.	
lymphoma non hodgkin	Mercaptopurine	DB01033	0	0	NA	Mercaptopurine tablets are indicated for maintenance therapy of acute lymphatic (lymphocytic, lymphoblastic) leukemia as part of a combination regimen. The response to this agent depends upon the particular subclassification of acute lymphatic leukemia and the age of the patient (pediatric or adult). Mercaptopurine tablets are not effective for prophylaxis or treatment of central nervous system leukemia. Mercaptopurine tablets are not effective in acute myelogenous leukemia, chronic lymphatic leukemia, the lymphomas (including Hodgkins Disease), or solid tumors.	Not indicated: Mercaptopurine tablets are not effective in acute myelogenous leukemia, chronic lymphatic leukemia, the lymphomas (including Hodgkins Disease), or solid tumors.
lymphoma non hodgkin	Mitoxantrone	DB01204	0	0	NA	MitoXANTRONE Injection is indicated for reducing neurologic disability and/or the frequency of clinical relapses in patients with secondary (chronic) progressive, progressive relapsing, or worsening relapsing-remitting multiple sclerosis (i.e., patients whose neurologic status is significantly abnormal between relapses). MitoXANTRONE Injection is not indicated in the treatment of patients with primary progressive multiple sclerosis. The clinical patterns of multiple sclerosis in the studies were characterized as follows: secondary progressive and progressive relapsing disease were characterized by gradual increasing disability with or without superimposed clinical relapses, and worsening relapsing-remitting disease was characterized by clinical relapses resulting in a step-wise worsening of disability. MitoXANTRONE Injection in combination with corticosteroids is indicated as initial chemotherapy for the treatment of patients with pain related to advanced hormone-refractory prostate cancer. MitoXANTRONE Injection in combination with other approved drug(s) is indicated in the initial therapy of acute nonlymphocytic leukemia (ANLL) in adults. This category includes myelogenous, promyelocytic, monocytic, and erythroid acute leukemias.	
lymphoma non hodgkin	Plerixafor	DB06809	0	1	NA	Mozobil, a hematopoietic stem cell mobilizer, is indicated in combination with granulocyte-colony stimulating factor (G-CSF) to mobilize hematopoietic stem cells to the peripheral blood for collection and subsequent autologous transplantation in patients with non-Hodgkins lymphoma and multiple myeloma. (1)	
lymphoma non hodgkin	Prednisolone	DB00860	0	0	0,857143	Steroid responsive inflammatory conditions of the palpebral and bulbar conjunctiva, cornea, and anterior segment of the globe such as allergic conjunctivitis, acne rosacea, superficial punctate keratitis, herpes zoster keratitis, iritis, cyclitis, selected infective conjunctivitides, when the inherent hazard of steroid use is accepted to obtain an advisable diminution in edema and inflammation; corneal injury from chemical, radiation, or thermal burns, or penetration of foreign bodies.	
